resume_text,job_description,ats_score
"Experienced Python developer with Django skills.", "Looking for Python developer with Django.", 90
"Java developer with Spring Boot.", "Looking for Python developer.", 20
"Data Scientist with Python and ML skills.", "Need a Data Scientist with ML knowledge.", 95
"Frontend developer with React.", "Looking for React developer.", 85
"Project Manager with Agile.", "Need a Python developer.", 10
"Python and React fullstack engineer.", "Looking for Fullstack dev with Python and React.", 92
"Marketing specialist.", "Looking for Software Engineer.", 5
"Junior Python developer.", "Looking for Senior Python Developer.", 60
"C++ embedded systems engineer.", "Looking for Web Developer.", 15
"DevOps engineer with AWS and Docker.", "Looking for DevOps with Cloud skills.", 88
"Full-stack developer with Node.js and MongoDB.", "Need Node.js developer with Express and MongoDB.", 90
"Backend developer experienced in Python, FastAPI, PostgreSQL.", "Hiring Python backend engineer with FastAPI and PostgreSQL.", 95
"Mobile app developer with Flutter and Dart.", "Looking for Flutter developer for mobile apps.", 92
"UI/UX Designer with Figma and Adobe XD.", "Hiring UI/UX designer with Figma skills.", 90
"Cloud engineer with Azure and Kubernetes.", "Need Azure cloud engineer with Kubernetes.", 91
"Backend developer with PHP and Laravel.", "Hiring Laravel PHP developer.", 88
"Security analyst with SIEM and penetration testing.", "Looking for cybersecurity analyst.", 85
"Game developer with Unity and C#.", "Hiring Unity game developer.", 92
"Data Analyst with SQL and Tableau.", "Need data analyst with SQL and visualization.", 93
"QA engineer with Selenium and Cypress.", "Looking for QA automation engineer.", 87
"Technical writer with API documentation experience.", "Hiring technical writer for developer docs.", 80
"Salesforce developer with Apex and Visualforce.", "Looking for Salesforce developer.", 85
"Blockchain developer with Solidity and Ethereum.", "Need Solidity blockchain developer.", 95
"AR/VR developer with Unreal Engine.", "Hiring AR/VR developer with Unreal.", 88
"Robotics engineer with ROS and Python.", "Looking for robotics engineer.", 85
"Computer vision engineer with OpenCV and PyTorch.", "Need computer vision specialist.", 90
"Natural language processing engineer.", "Hiring NLP engineer.", 93
"iOS developer with Swift and SwiftUI.", "Looking for iOS Swift developer.", 90
"Android developer with Kotlin.", "Hiring Android Kotlin developer.", 88
"Backend engineer with Go and microservices.", "Need Go developer with microservices.", 92
"Full-stack with Vue.js and NestJS.", "Looking for Vue + NestJS full-stack dev.", 89
"DevSecOps with Terraform and security.", "Hiring DevSecOps engineer.", 85
"Data engineer with Spark and Airflow.", "Need data engineer with Spark.", 91
